Narration,Date,Withdrawal,Deposit,Closing,Keyword
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,06/01/2023,"3,000.00",0.00,"3,94,684.84",INDIANCLEARINGCORPOR
UPI ESLAVATH NARESH PAYTMQR ESU X JHY PAYTM PYTM PAYMENT FROM PHONE,06/01/2023,86.00,0.00,"3,94,598.84",UPI
UPI BASAVA SHANKAR RAO R AXL ICIC PAYMENT FROM PH ONE,06/01/2023,"40,000.00",0.00,"3,54,598.84",UPI
UPI NALLAMALA YASWANTH YASWANTH O KHDFCBANK UBIN UPI,07/01/2023,0.00,"15,000.00","3,69,598.84",UPI
UPI BABURAO CHOWDARY PAYTMQR LVWO ODWP G PAYTM PYTM PAYMENT FROM PHONE,07/01/2023,30.00,0.00,"3,69,568.84",UPI
UPI MR SEELI PRASAD BHARATPE YESBANKLTD YESB YESUPI PAY TO BHARATPE ME,07/01/2023,120.00,0.00,"3,69,448.84",UPI
UPI NIKETHAN REDDY BEERA NIKETHANREDDY A XL SBIN PAYMENT FROM PHONE,07/01/2023,"6,568.00",0.00,"3,62,880.84",UPI
UPI BHEEMA ROHITH ROHITHBHEEMA AXL CNRB PAYMENT FROM PHONE,07/01/2023,0.00,"7,500.00","3,70,380.84",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,07/01/2023,"2,000.00",0.00,"3,68,380.84",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,08/01/2023,"2,000.00",0.00,"3,66,380.84",INDIANCLEARINGCORPOR
UPI LAVETI BHARGAV Q YBL YESB Y BLUPI PAYMENT FROM PHONE,08/01/2023,600.00,0.00,"3,65,780.84",UPI
NEFT CR ICIC NEXTBILLION TECHNOLO GY PRIVATE LIMITED CLIENT ACCO BHEEMA RO HITH CMS,08/01/2023,0.00,"2,000.00","3,67,780.84",NEXTBILLION
UPI MR POTNOORU SOMU KUM PAYTMQR UVSMCEL TY PAYTM PYTM PAYMENT FROM PHONE,08/01/2023,300.00,0.00,"3,67,480.84",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,08/01/2023,"3,000.00",0.00,"3,64,480.84",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,08/01/2023,"1,000.00",0.00,"3,63,480.84",INDIANCLEARINGCORPOR
UPI MR POTNOORU SOMU KUM PAYTMQR UVSMCEL TY PAYTM PYTM PAYMENT FROM PHONE,09/01/2023,40.00,0.00,"3,63,440.84",UPI
UPI ZERODHA ZERODHABROKING YESBANK YESB Z,09/01/2023,"2,000.00",0.00,"3,61,440.84",ZERODHA
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,09/01/2023,95.00,0.00,"3,61,345.84",FOOD
UPI MANIKONDA ANIRUDH ANIRUDHMANIKONDA OKICICI ICIC UP I,09/01/2023,0.00,"22,000.00","3,83,345.84",UPI
UPI BEERLA RENUKA Q YBL YESB YB LUPI PAYMENT FROM PHONE,09/01/2023,60.00,0.00,"3,83,285.84",UPI
UPI DARAPUNENI BHARATPE FBPE FDRL PAY TO BHARATP E ME,09/01/2023,50.00,0.00,"3,83,235.84",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,10/01/2023,"2,000.00",0.00,"3,81,235.84",INDIANCLEARINGCORPOR
UPI BHEEMA ROHITH ROHITHBHEEMA YBL CNRB PAYMENT FROM PHONE,10/01/2023,0.00,"8,000.00","3,89,235.84",UPI
UPI KHAJA SARFARAZ Q YBL YESB Y BLUPI PAYMENT FROM PHONE,10/01/2023,"3,900.00",0.00,"3,85,335.84",UPI
UPI IDLY COM MADHAPUR PAYTMQR V EOMZ BP PAYTM PYTM PAYMENT FROM PHONE,10/01/2023,80.00,0.00,"3,85,255.84",IDLY
UPI IDLY COM MADHAPUR PAYTMQR V EOMZ BP PAYTM PYTM PAYMENT FROM PHONE,10/01/2023,119.00,0.00,"3,85,136.84",IDLY
UPI IDLY COM MADHAPUR PAYTMQR V EOMZ BP PAYTM PYTM PAYMENT FROM PHONE,10/01/2023,45.00,0.00,"3,85,091.84",IDLY
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,11/01/2023,"2,000.00",0.00,"3,83,091.84",INDIANCLEARINGCORPOR
UPI SIMPL CF SIMPL ICICI ICIC DC UPI INTENT,11/01/2023,30.00,0.00,"3,83,061.84",SIMPL
UPI SWIGGY SWIGGY STORES AXISBANK UTIB SWIGGY ORDER ID,11/01/2023,142.00,0.00,"3,82,919.84",SWIGGY
UPI BHEEMA ROHITH ROHITHBHEEMA YBL CNRB PAYMENT FROM PHONE,11/01/2023,0.00,"10,000.00","3,92,919.84",UPI
UPI MR POTNOORU SOMU KUM PAYTMQR UVSMCEL TY PAYTM PYTM PAYMENT FROM PHONE,11/01/2023,30.00,0.00,"3,92,889.84",UPI
UPI PINTU YADAV Q YBL YESB YBLU PI PAYMENT FROM PHONE,11/01/2023,40.00,0.00,"3,92,849.84",UPI
UPI IRCTC APP UPI PAYTM IRCTCAPP PAYTM P YTM OID,11/01/2023,"1,523.60",0.00,"3,91,326.24",IRCTC
UPI IRCTC APP UPI PAYTM IRCTCAPP PAYTM P YTM OID,11/01/2023,"1,433.60",0.00,"3,89,892.64",IRCTC
UPI REDBUS REDBUS RZP AXISBANK UTIB REDBUS BOOKING,11/01/2023,"7,392.00",0.00,"3,82,500.64",REDBUS
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,12/01/2023,"3,000.00",0.00,"3,79,500.64",INDIANCLEARINGCORPOR
UPI MD IBRAHIM PAYTM PYTM PAYMENT FROM PHONE,12/01/2023,20.00,0.00,"3,79,480.64",UPI
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,12/01/2023,95.00,0.00,"3,79,385.64",FOOD
NWD XXXXXX CD HYDERABAD,12/01/2023,"1,100.00",0.00,"3,78,285.64",NWD
UPI THIRUPATHI S Q YBL YESB YBLU PI PAYMENT FROM PHONE,14/01/2023,50.00,0.00,"3,78,235.64",UPI
UPI HEMASEKHAR REDDY P Q YBL YE SB YBLUPI PAYMENT FROM PHON E,14/01/2023,20.00,0.0,"3,78,215.64",UPI
UPI PALAPATI HEMASEKHAR PAYTMQR LUWRLIS Z PAYTM PYTM PAYMENT FROM PHONE,15/01/2023,35.00,0.0,"3,78,180.64",UPI
UPI A SURESH BABU SURESHATTLURI YBL C NRB PAYMENT FROM PHO NE,15/01/2023,"9,650.00",0.0,"3,68,530.64",UPI
UPI V KESAVAPERUMAL PAYTMQR G BE R U PAYTM PYTM PAYMENT FROM PHONE,15/01/2023,73.00,0.0,"3,68,457.64",UPI
UPI ABHISHEK NEGI ABHI ICICI ICIC PAYMENT FROM PHONE,15/01/2023,"13,500.00",0.0,"3,54,957.64",UPI
UPI BALAJI ARAI GOPI APL NSPB APAYMERCHANT,15/01/2023,35.00,0.0,"3,54,922.64",UPI
UPI PALAPATI HEMASEKHAR PAYTMQR LUWRLIS Z PAYTM PYTM PAYMENT FROM PHONE,16/01/2023,20.00,0.0,"3,54,902.64",UPI
UPI ERAGAM REDDY S BHARATPE Y ESBANKLTD YESB YESUPI PAY T O BHARATPE ME,16/01/2023,70.00,0.0,"3,54,832.64",UPI
UPI ERAGAM REDDY S BHARATPE Y ESBANKLTD YESB YESUPI PAY T O BHARATPE ME,16/01/2023,25.00,0.0,"3,54,807.64",UPI
UPI PALAPATI HEMASEKHAR PAYTMQR LUWRLIS Z PAYTM PYTM PAYMENT FROM PHONE,16/01/2023,10.00,0.0,"3,54,797.64",UPI
UPI MUNOTHU SHIVAJI BHARATPE YESBANKLTD YESB YESUPI PAY TO BHARATPE ME,17/01/2023,25.00,0.0,"3,54,772.64",UPI
UPI MANIKONDA ANIRUDH ANIRUDHMANIKONDA I CICI ICIC PAYMENT FR OM PHONE,17/01/2023,"22,000.00",0.0,"3,32,772.64",UPI
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,17/01/2023,120.00,0.0,"3,32,652.64",FOOD
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,18/01/2023,"2,000.00",0.0,"3,30,652.64",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,18/01/2023,"1,000.00",0.0,"3,29,652.64",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,18/01/2023,"2,000.00",0.0,"3,27,652.64",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,18/01/2023,"2,000.00",0.0,"3,25,652.64",INDIANCLEARINGCORPOR
